k,accuracy,f1_weighted,acc_drop
1,0.5444303411360707,0.410556390740461,41.704
3,0.4302132223435763,0.264437989577804,53.126
5,0.4250671547067332,0.25357694255139956,53.64
10,0.4250671547067332,0.25357694255139956,53.64
15,0.4250671547067332,0.25357694255139956,53.64
20,0.4250671547067332,0.25357694255139956,53.64
